sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
122;SDS011;56;-0.108;34.749;2019-09-01T00:47:00.384585+00:00;P1;52.70
122;SDS011;56;-0.108;34.749;2019-09-01T00:49:30.108276+00:00;P2;46.70
122;SDS011;56;-0.108;34.749;2019-09-01T00:49:30.108276+00:00;P1;51.03
121;DHT22;56;-0.108;34.749;2019-09-01T00:49:31.587604+00:00;humidity;97.40
121;DHT22;56;-0.108;34.749;2019-09-01T00:49:31.587604+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T00:52:01.538343+00:00;P2;45.10
122;SDS011;56;-0.108;34.749;2019-09-01T00:52:01.538343+00:00;P1;49.23
121;DHT22;56;-0.108;34.749;2019-09-01T00:52:03.496102+00:00;humidity;97.40
121;DHT22;56;-0.108;34.749;2019-09-01T00:52:03.496102+00:00;temperature;19.30
122;SDS011;56;-0.108;34.749;2019-09-01T00:54:32.217839+00:00;P2;44.17
122;SDS011;56;-0.108;34.749;2019-09-01T00:54:32.217839+00:00;P1;48.53
121;DHT22;56;-0.108;34.749;2019-09-01T00:54:33.746860+00:00;humidity;97.30
121;DHT22;56;-0.108;34.749;2019-09-01T00:54:33.746860+00:00;temperature;19.30
122;SDS011;56;-0.108;34.749;2019-09-01T00:57:03.856556+00:00;P2;43.40
122;SDS011;56;-0.108;34.749;2019-09-01T00:57:03.856556+00:00;P1;47.63
121;DHT22;56;-0.108;34.749;2019-09-01T00:57:05.397733+00:00;humidity;97.20
121;DHT22;56;-0.108;34.749;2019-09-01T00:57:05.397733+00:00;temperature;19.30
122;SDS011;56;-0.108;34.749;2019-09-01T00:59:34.082053+00:00;P2;44.60
122;SDS011;56;-0.108;34.749;2019-09-01T00:59:34.082053+00:00;P1;48.87
121;DHT22;56;-0.108;34.749;2019-09-01T00:59:35.570752+00:00;humidity;97.10
121;DHT22;56;-0.108;34.749;2019-09-01T00:59:35.570752+00:00;temperature;19.30
122;SDS011;56;-0.108;34.749;2019-09-01T01:02:06.149399+00:00;P2;45.27
122;SDS011;56;-0.108;34.749;2019-09-01T01:02:06.149399+00:00;P1;49.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:04:36.238501+00:00;P2;46.53
122;SDS011;56;-0.108;34.749;2019-09-01T01:04:36.238501+00:00;P1;50.93
121;DHT22;56;-0.108;34.749;2019-09-01T01:04:37.707825+00:00;humidity;96.80
121;DHT22;56;-0.108;34.749;2019-09-01T01:04:37.707825+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:07:06.396048+00:00;P2;42.67
122;SDS011;56;-0.108;34.749;2019-09-01T01:07:06.396048+00:00;P1;46.87
121;DHT22;56;-0.108;34.749;2019-09-01T01:07:07.847278+00:00;humidity;96.60
121;DHT22;56;-0.108;34.749;2019-09-01T01:07:07.847278+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:09:37.923646+00:00;P2;44.13
122;SDS011;56;-0.108;34.749;2019-09-01T01:09:37.923646+00:00;P1;48.93
122;SDS011;56;-0.108;34.749;2019-09-01T01:12:07.367987+00:00;P2;41.27
122;SDS011;56;-0.108;34.749;2019-09-01T01:12:07.367987+00:00;P1;45.43
121;DHT22;56;-0.108;34.749;2019-09-01T01:12:08.995489+00:00;humidity;96.20
121;DHT22;56;-0.108;34.749;2019-09-01T01:12:08.995489+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:14:37.886624+00:00;P2;40.95
122;SDS011;56;-0.108;34.749;2019-09-01T01:14:37.886624+00:00;P1;45.20
121;DHT22;56;-0.108;34.749;2019-09-01T01:14:39.463836+00:00;humidity;96.10
121;DHT22;56;-0.108;34.749;2019-09-01T01:14:39.463836+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:17:08.323436+00:00;P2;39.70
122;SDS011;56;-0.108;34.749;2019-09-01T01:17:08.323436+00:00;P1;44.22
121;DHT22;56;-0.108;34.749;2019-09-01T01:17:09.993973+00:00;humidity;96.00
121;DHT22;56;-0.108;34.749;2019-09-01T01:17:09.993973+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:19:39.159777+00:00;P2;39.20
122;SDS011;56;-0.108;34.749;2019-09-01T01:19:39.159777+00:00;P1;43.07
121;DHT22;56;-0.108;34.749;2019-09-01T01:19:41.086214+00:00;humidity;95.90
121;DHT22;56;-0.108;34.749;2019-09-01T01:19:41.086214+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:22:10.805845+00:00;P2;39.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:22:10.805845+00:00;P1;43.05
121;DHT22;56;-0.108;34.749;2019-09-01T01:22:12.523369+00:00;humidity;95.70
121;DHT22;56;-0.108;34.749;2019-09-01T01:22:12.523369+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:24:41.205486+00:00;P2;38.75
122;SDS011;56;-0.108;34.749;2019-09-01T01:24:41.205486+00:00;P1;43.40
121;DHT22;56;-0.108;34.749;2019-09-01T01:24:42.729719+00:00;humidity;95.50
121;DHT22;56;-0.108;34.749;2019-09-01T01:24:42.729719+00:00;temperature;19.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:27:11.442751+00:00;P2;38.00
122;SDS011;56;-0.108;34.749;2019-09-01T01:27:11.442751+00:00;P1;41.77
121;DHT22;56;-0.108;34.749;2019-09-01T01:27:13.169012+00:00;humidity;95.10
121;DHT22;56;-0.108;34.749;2019-09-01T01:27:13.169012+00:00;temperature;19.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:29:41.894824+00:00;P2;38.33
122;SDS011;56;-0.108;34.749;2019-09-01T01:29:41.894824+00:00;P1;42.23
121;DHT22;56;-0.108;34.749;2019-09-01T01:29:43.582148+00:00;humidity;94.90
121;DHT22;56;-0.108;34.749;2019-09-01T01:29:43.582148+00:00;temperature;19.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:32:12.410288+00:00;P2;38.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:32:12.410288+00:00;P1;42.30
121;DHT22;56;-0.108;34.749;2019-09-01T01:32:14.078015+00:00;humidity;94.70
121;DHT22;56;-0.108;34.749;2019-09-01T01:32:14.078015+00:00;temperature;19.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:34:43.447081+00:00;P2;38.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:34:43.447081+00:00;P1;41.97
121;DHT22;56;-0.108;34.749;2019-09-01T01:34:45.329683+00:00;humidity;94.70
121;DHT22;56;-0.108;34.749;2019-09-01T01:34:45.329683+00:00;temperature;19.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:37:14.413088+00:00;P2;37.93
122;SDS011;56;-0.108;34.749;2019-09-01T01:37:14.413088+00:00;P1;41.43
121;DHT22;56;-0.108;34.749;2019-09-01T01:37:16.050765+00:00;humidity;94.30
121;DHT22;56;-0.108;34.749;2019-09-01T01:37:16.050765+00:00;temperature;19.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:39:45.492357+00:00;P2;37.37
122;SDS011;56;-0.108;34.749;2019-09-01T01:39:45.492357+00:00;P1;40.67
121;DHT22;56;-0.108;34.749;2019-09-01T01:39:47.082777+00:00;humidity;94.20
121;DHT22;56;-0.108;34.749;2019-09-01T01:39:47.082777+00:00;temperature;19.50
122;SDS011;56;-0.108;34.749;2019-09-01T01:42:16.296541+00:00;P2;36.90
122;SDS011;56;-0.108;34.749;2019-09-01T01:42:16.296541+00:00;P1;40.00
121;DHT22;56;-0.108;34.749;2019-09-01T01:42:18.066714+00:00;humidity;94.10
121;DHT22;56;-0.108;34.749;2019-09-01T01:42:18.066714+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:44:46.711169+00:00;P2;37.60
122;SDS011;56;-0.108;34.749;2019-09-01T01:44:46.711169+00:00;P1;40.93
121;DHT22;56;-0.108;34.749;2019-09-01T01:44:48.457659+00:00;humidity;94.10
121;DHT22;56;-0.108;34.749;2019-09-01T01:44:48.457659+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:47:17.488640+00:00;P2;36.60
122;SDS011;56;-0.108;34.749;2019-09-01T01:47:17.488640+00:00;P1;39.97
121;DHT22;56;-0.108;34.749;2019-09-01T01:47:19.252479+00:00;humidity;94.10
121;DHT22;56;-0.108;34.749;2019-09-01T01:47:19.252479+00:00;temperature;19.40
122;SDS011;56;-0.108;34.749;2019-09-01T01:49:47.992064+00:00;P2;37.80
122;SDS011;56;-0.108;34.749;2019-09-01T01:49:47.992064+00:00;P1;41.10
121;DHT22;56;-0.108;34.749;2019-09-01T01:49:50.230483+00:00;humidity;94.20
121;DHT22;56;-0.108;34.749;2019-09-01T01:49:50.230483+00:00;temperature;19.30
122;SDS011;56;-0.108;34.749;2019-09-01T01:52:19.625064+00:00;P2;38.03
122;SDS011;56;-0.108;34.749;2019-09-01T01:52:19.625064+00:00;P1;41.53
121;DHT22;56;-0.108;34.749;2019-09-01T01:52:21.131024+00:00;humidity;94.20
121;DHT22;56;-0.108;34.749;2019-09-01T01:52:21.131024+00:00;temperature;19.30
122;SDS011;56;-0.108;34.749;2019-09-01T01:54:49.774798+00:00;P2;37.17
122;SDS011;56;-0.108;34.749;2019-09-01T01:54:49.774798+00:00;P1;40.90
121;DHT22;56;-0.108;34.749;2019-09-01T01:54:51.457775+00:00;humidity;94.30
121;DHT22;56;-0.108;34.749;2019-09-01T01:54:51.457775+00:00;temperature;19.30
122;SDS011;56;-0.108;34.749;2019-09-01T01:57:20.402707+00:00;P2;38.07
122;SDS011;56;-0.108;34.749;2019-09-01T01:57:20.402707+00:00;P1;41.80
121;DHT22;56;-0.108;34.749;2019-09-01T01:57:21.966211+00:00;humidity;94.40
121;DHT22;56;-0.108;34.749;2019-09-01T01:57:21.966211+00:00;temperature;19.20
122;SDS011;56;-0.108;34.749;2019-09-01T01:59:50.724155+00:00;P2;38.10
122;SDS011;56;-0.108;34.749;2019-09-01T01:59:50.724155+00:00;P1;41.53
121;DHT22;56;-0.108;34.749;2019-09-01T01:59:52.647469+00:00;humidity;94.50
121;DHT22;56;-0.108;34.749;2019-09-01T01:59:52.647469+00:00;temperature;19.10
122;SDS011;56;-0.108;34.749;2019-09-01T02:02:21.506070+00:00;P2;38.53
